Date Finished, Nodes, Degree, Dir, Path, Cluster, Tranvity
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M0.npy, 2.4087301587301586, 0.034375, 0.034375
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M1.npy, 2.4092261904761907, 0.043750000000000025, 0.04375
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M2.npy, 2.4117063492063493, 0.037500000000000006, 0.0375
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M3.npy, 2.4146825396825395, 0.050000000000000044, 0.05
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M4.npy, 2.416170634920635, 0.028124999999999997, 0.028125
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M5.npy, 2.4171626984126986, 0.04375000000000002, 0.04375
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M6.npy, 2.4176587301587302, 0.04062500000000002, 0.040625
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M7.npy, 2.4191468253968256, 0.01875, 0.01875
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M8.npy, 2.4191468253968256, 0.04375000000000001, 0.04375
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M9.npy, 2.4191468253968256, 0.024999999999999998, 0.025
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M10.npy, 2.4206349206349205, 0.024999999999999998, 0.025
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M12.npy, 2.422123015873016, 0.031249999999999997, 0.03125
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M11.npy, 2.422123015873016, 0.04375000000000003, 0.04375
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M13.npy, 2.422123015873016, 0.04062500000000001, 0.040625
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M14.npy, 2.4226190476190474, 0.04062500000000002, 0.040625
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M15.npy, 2.423611111111111, 0.024999999999999998, 0.025
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M16.npy, 2.424107142857143, 0.04062500000000001, 0.040625
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M17.npy, 2.4246031746031744, 0.037500000000000006, 0.0375
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M18.npy, 2.4260912698412698, 0.05000000000000002, 0.05
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M19.npy, 2.427579365079365, 0.021875, 0.021875
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M20.npy, 2.4280753968253967, 0.03750000000000001, 0.0375
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M21.npy, 2.4285714285714284, 0.05000000000000004, 0.05
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M22.npy, 2.4290674603174605, 0.053125000000000026, 0.053125
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M23.npy, 2.429563492063492, 0.06250000000000004, 0.0625
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M25.npy, 2.4300595238095237, 0.04687500000000002, 0.046875
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M24.npy, 2.4300595238095237, 0.034375, 0.034375
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M27.npy, 2.4305555555555554, 0.05000000000000003, 0.05
03-20-21_16:59:39, 64, 6.0, Adjacency/64/6/M26.npy, 2.4305555555555554, 0.05937500000000004, 0.059375
03-20-21_16:59:39, 64, 6, Adjacency/64/6/M28.npy, 2.4310515873015874, 0.028124999999999997, 0.028125
