Date Finished, data, num_classes, model_name, degree, nodes, parameter, flops, size
05-24-21_09:29:03, CIFAR10,10, cResNet18,4,64, 0.7M, 70.66M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,6,64, 1.05M, 105.37M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,8,64, 1.4M, 140.08M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,10,64, 1.74M, 174.8M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,12,64, 2.09M, 209.51M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,14,64, 2.44M, 244.23M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,16,64, 2.79M, 278.94M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,18,64, 3.14M, 313.65M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,20,64, 3.49M, 348.37M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,64,64, 11.16M, 1112.07M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,4,64, 0.95M, 40.17M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,6,64, 1.43M, 59.78M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,8,64, 1.9M, 79.39M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,10,64, 2.38M, 98.99M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,12,64, 2.86M, 118.6M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,14,64, 3.33M, 138.21M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,16,64, 3.81M, 157.82M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,18,64, 4.29M, 177.43M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,20,64, 4.76M, 197.03M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,64,64, 15.24M, 628.41M,32
05-24-21_09:29:03, SVHN,10, cResNet18,4,64, 0.7M, 70.66M,32
05-24-21_09:29:03, SVHN,10, cResNet18,6,64, 1.05M, 105.37M,32
05-24-21_09:29:04, SVHN,10, cResNet18,8,64, 1.4M, 140.08M,32
05-24-21_09:29:04, SVHN,10, cResNet18,10,64, 1.74M, 174.8M,32
05-24-21_09:29:04, SVHN,10, cResNet18,12,64, 2.09M, 209.51M,32
05-24-21_09:29:04, SVHN,10, cResNet18,14,64, 2.44M, 244.23M,32
05-24-21_09:29:04, SVHN,10, cResNet18,16,64, 2.79M, 278.94M,32
05-24-21_09:29:04, SVHN,10, cResNet18,18,64, 3.14M, 313.65M,32
